tournament,season,team,finish
Canada Cup,1976,CAN,1
Canada Cup,1976,TCH,2
Canada Cup,1976,URS,3
Canada Cup,1981,USSR,1
Canada Cup,1981,CAN,2
Canada Cup,1981,TCH,3
Canada Cup,1984,CAN,1
Canada Cup,1984,SWE,2
Canada Cup,1984,URS,3
Canada Cup,1987,CAN,1
Canada Cup,1987,URS,2
Canada Cup,1987,SWE,3
Canada Cup,1991,CAN,1
Canada Cup,1991,USA,2
Canada Cup,1991,FIN,3
IIHF World Championship,1976,TCH,1
IIHF World Championship,1976,USSR,2
IIHF World Championship,1976,SWE,3
IIHF World Championship,1977,TCH,1
IIHF World Championship,1977,SWE,2
IIHF World Championship,1977,USSR,3
IIHF World Championship,1978,USSR,1
IIHF World Championship,1978,TCH,2
IIHF World Championship,1978,CAN,3
IIHF World Championship,1979,USSR,1
IIHF World Championship,1979,TCH,2
IIHF World Championship,1979,SWE,3
IIHF World Championship,1981,USSR,1
IIHF World Championship,1981,SWE,2
IIHF World Championship,1981,TCH,3
IIHF World Championship,1982,USSR,1
IIHF World Championship,1982,TCH,2
IIHF World Championship,1982,CAN,3
IIHF World Championship,1983,USSR,1
IIHF World Championship,1983,TCH,2
IIHF World Championship,1983,CAN,3
IIHF World Championship,1985,TCH,1
IIHF World Championship,1985,CAN,2
IIHF World Championship,1985,USSR,3
IIHF World Championship,1986,USSR,1
IIHF World Championship,1986,SWE,2
IIHF World Championship,1986,CAN,3
IIHF World Championship,1987,SWE,1
IIHF World Championship,1987,USSR,2
IIHF World Championship,1987,TCH,3
IIHF World Championship,1989,USSR,1
IIHF World Championship,1989,CAN,2
IIHF World Championship,1989,TCH,3
IIHF World Championship,1990,USSR,1
IIHF World Championship,1990,SWE,2
IIHF World Championship,1990,TCH,3
IIHF World Championship,1991,SWE,1
IIHF World Championship,1991,CAN,2
IIHF World Championship,1991,USSR,3
IIHF World Championship,1992,SWE,1
IIHF World Championship,1992,FIN,2
IIHF World Championship,1992,TCH,3
IIHF World Championship,1993,RUS,1
IIHF World Championship,1993,SWE,2
IIHF World Championship,1993,CZE,3
IIHF World Championship,1994,CAN,1
IIHF World Championship,1994,FIN,2
IIHF World Championship,1994,SWE,3
IIHF World Championship,1995,FIN,1
IIHF World Championship,1995,SWE,2
IIHF World Championship,1995,CAN,3
IIHF World Championship,1996,CZE,1
IIHF World Championship,1996,CAN,2
IIHF World Championship,1996,USA,3
IIHF World Championship,1997,CAN,1
IIHF World Championship,1997,SWE,2
IIHF World Championship,1997,CZE,3
IIHF World Championship,1998,SWE,1
IIHF World Championship,1998,FIN,2
IIHF World Championship,1998,CZE,3
IIHF World Championship,1999,CZE,1
IIHF World Championship,1999,FIN,2
IIHF World Championship,1999,SWE,3
IIHF World Championship,2000,CZE,1
IIHF World Championship,2000,SVK,2
IIHF World Championship,2000,FIN,3
IIHF World Championship,2001,CZE,1
IIHF World Championship,2001,FIN,2
IIHF World Championship,2001,SWE,3
IIHF World Championship,2002,SVK,1
IIHF World Championship,2002,RUS,2
IIHF World Championship,2002,SWE,3
IIHF World Championship,2003,CAN,1
IIHF World Championship,2003,SWE,2
IIHF World Championship,2003,SVK,3
